Timestamp,Lo primero: donde cursas la MAYORIA de tus clases?,¿En que horario cursas esa mayoría?,¿Qué medio de transporte  usás para llegar a la sede la mayoría de las veces?,Caminando...,En bici...,En moto...,En bondi...,¿Qué líneas tomás?,En tren...,¿Que líneas de tren tomás?,En auto...,"En remis, Uber, etc...",En combi...,¿Qué otro medio de transporte  usás para llegar a las sedes?,Caminando...,En bici...,En moto...,En bondi...,¿Qué líneas tomás?,En tren...,¿Que líneas de tren tomás?,En auto...,"En remis, Uber, etc...",En combi...,"Para finalizar, moverte hacia/desde la Universidad, te hizo considerar alguna de las siguientes opciones?"
25/05/2026 18:43:21,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,".. me lleva mucho tiempo, ... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal",429 y 503,,,,,,No uso otro medio de transporte,,,,,,,,,,,Tengo que mudarme más cerca de las sedes
25/05/2026 21:34:42,Sede Parque Industrial,Mixto: Tengo clases en varios turnos miti miti,Voy en colectivo,,,,... me lleva mucho presupuesto,"276 para llegar a pilar y para el parque 510 ramal 1, 350 o 511 ahí no tengo problema por el descuento ",,,,,,Voy en colectivo,,,,... me lleva mucho presupuesto,,,,,,,"Tengo que conseguir trabajo, es muy caro viajar, Necesito salir antes de casa"
25/05/2026 21:50:49,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,.. me lleva mucho tiempo,501-520,,,,,,Voy en bici,,... el tránsito por zonas es peligroso  (riesgo de accidentes),,,,,,,,,Necesito salir antes de casa
25/05/2026 23:07:28,Sede Pellegrini,Turno Tarde,Voy en auto (propio o me llevan/traen),,,,,,,,... me lleva mucho presupuesto,,,Voy en colectivo,,,,"... no me reconocen el boleto universitario municipal, ... no respetan horarios",511,,,,,,"Voy a pedir prestado para poder seguir viniendo este mes, Necesito salir antes de casa"
26/05/2026 00:33:17,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,"... no respetan horarios, ... no tienen carteles claros",501/503 - 520 - 276,,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,... me lleva mucho presupuesto,,Tengo que evitar -tal zona- en -tal horario-
26/05/2026 04:10:01,Sede Parque Industrial,Turno Noche,Voy en auto (propio o me llevan/traen),,,,,,,,"... el tránsito por zonas es peligroso (riesgo de accidentes), ... me lleva mucho presupuesto",,,Voy en colectivo,,,,"... me lleva mucho tiempo, ... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal, ... tuve experiencias de episodios de violencia/acoso hacia mi persona, ... no tienen carteles claros",510 / 520 / 501 / 276,,,,,,"Tengo que conseguir trabajo, es muy caro viajar, Necesito salir antes de casa, No voy a poder seguir cursando"
26/05/2026 14:29:20,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... el tránsito por zonas es peligroso  (riesgo de accidentes), ... la zona donde transito es peligrosa (robos, etc), ... me lleva mucho tiempo, ... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal","510, 520, 276",,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,... me lleva mucho presupuesto,,"Necesito salir antes de casa, Tengo que evitar -tal zona- en -tal horario-"
26/05/2026 08:03:51,Sede Pellegrini,Turno Mañana,Voy caminando,... el trayecto hasta la sede se me hace lejano,,,,,,,,,,Voy en colectivo,,,,... me lleva mucho presupuesto,276 501,,,,,,"Tengo que conseguir trabajo, es muy caro viajar"
26/05/2026 08:03:55,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho tiempo, ... me lleva mucho presupuesto",203 350 ,,,,,,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho tiempo, ... me lleva mucho presupuesto",,,,,,,"Tengo que conseguir trabajo, es muy caro viajar"
26/05/2026 08:05:20,Sede Pellegrini,Turno Mañana,Voy en auto (propio o me llevan/traen),,,,,,,,,,,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,510,,,,,,Necesito salir antes de casa
26/05/2026 08:05:21,Sede Pellegrini,Turno Tarde,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,Salgo de trabajar 15.30 necesito ir a la Uni en uber  para lograr llegar a la segunda materia,,Voy en colectivo,,,,... no tienen carteles claros,501 y 291 vivo en la lonja tengo que hacer combinacion,,,,,,
26/05/2026 08:34:33,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... el tránsito por zonas es peligroso  (riesgo de accidentes), ... me lleva mucho tiempo, ... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal","313 , 276",,,,,,No uso otro medio de transporte,,,,,,,,,,,"Tengo que conseguir trabajo, es muy caro viajar, Tengo que mudarme más cerca de las sedes, Necesito salir antes de casa"
26/05/2026 08:05:42,Sede Pellegrini,Turno Noche,Voy en colectivo,,,,,Cualquiera que vaya. Los miércoles voy en el colectivo que va directo a Sede de Parque Industrial.,,,,,,Voy en auto (propio o me llevan/traen),,,,,,,,"... el tránsito por zonas es peligroso (riesgo de accidentes), ... me lleva mucho presupuesto",,,Necesito salir antes de casa
